progress,loss,accuracy
9.79,0.0,0.97
9.8,0.0,0.96
9.81,0.0,0.97
9.82,0.0,0.97
9.83,0.0,0.96
9.84,0.0,0.94
9.85,0.0,0.96
9.86,0.0,0.96
9.87,0.0,0.97
9.88,0.0,0.94
9.89,0.0,0.96
9.9,0.0,0.94
9.91,0.0,0.96
9.92,0.0,0.96
9.92,0.0,0.96
9.93,0.0,0.96
9.94,0.0,0.96
9.95,0.0,0.96
9.96,0.0,0.94
9.97,0.0,0.94
9.98,0.0,0.96
9.99,0.0,0.94
10.0,0.0,0.94
10.01,0.0,0.94
10.02,0.0,0.96
10.03,0.0,0.96
10.04,0.0,0.97
10.04,0.0,0.96
10.05,0.0,0.97
10.06,0.0,0.96
10.07,0.0,0.94
10.08,0.0,0.96
10.09,0.0,0.94
10.1,0.0,0.94
10.11,0.0,0.96
10.12,0.0,0.96
10.13,0.0,0.96
10.14,0.0,0.96
10.15,0.0,0.97
10.16,0.0,0.97
10.17,0.0,0.96
10.17,0.0,0.96
10.18,0.0,0.97
10.19,0.0,0.97
10.2,0.0,0.97
10.21,0.0,0.97
10.22,0.0,0.96
10.23,0.0,0.96
10.24,0.0,0.93
10.25,0.0,0.97
10.26,0.0,0.97
10.27,0.0,0.96
10.28,0.0,0.97
10.29,0.0,0.96
10.29,0.0,0.96
10.3,0.0,0.94
10.31,0.0,0.96
10.32,0.0,0.96
10.33,0.0,0.97
10.34,0.0001,0.96
10.35,0.0,0.96
10.36,0.0,0.96
10.37,0.0,0.96
10.38,0.0,0.94
10.39,0.0,0.96
10.4,0.0,0.96
10.41,0.0,0.94
10.42,0.0,0.94
10.42,0.0,0.96
10.43,0.0,0.94
10.44,0.0,0.94
10.45,0.0,0.96
10.46,0.0,0.93
10.47,0.0,0.94
10.48,0.0,0.94
10.49,0.0,0.94
10.5,0.0,0.93
